Должность,ЗП от,ЗП до,Валюта,Ссылка
Инженер-конструктор,100000,300000,руб.,https://hh.ru/vacancy/76957905?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,90000,100000,руб.,https://hh.ru/vacancy/76709627?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,95000,,руб.,https://hh.ru/vacancy/77132723?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер -конструктор,60000,90000,руб.,https://hh.ru/vacancy/76524540?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Ведущий инженер-конструктор,90000,,руб.,https://hh.ru/vacancy/73495578?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер по механическим конструкциям (Инженер-конструктор),120000,,руб.,https://hh.ru/vacancy/76652990?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,90000,130000,руб.,https://hh.ru/vacancy/76209426?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Ведущий конструктор (design инженер машиностроение),150000,,руб.,https://hh.ru/vacancy/72945037?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Ведущий Инженер-конструктор,110000,115000,руб.,https://hh.ru/vacancy/77154572?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,85000,,руб.,https://hh.ru/vacancy/75591458?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор КМ,100000,,руб.,https://hh.ru/vacancy/76567918?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,60000,120000,руб.,https://hh.ru/vacancy/76618646?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,80000,,руб.,https://hh.ru/vacancy/76714350?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Ведущий инженер-конструктор,140000,170000,руб.,https://hh.ru/vacancy/55458106?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
Инженер-конструктор,60000,120000,руб.,https://hh.ru/vacancy/76809795?from=vacancy_search_list&query=%D0%98%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80-%D0%BA%D0%BE%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D0%BE%D1%80
